Document Number,Document Title,Document Date,Cancelled/Superceding Document,Cancelled/Superceding Date
A-A-50017B,"Case, Produce Display, Non-Refrigerated",8-Jul-1986,,Cancelled Date: 15-Apr-1996
A-A-50008A,"Grills, Frankfurter, Roller Type, Electric",30-Jun-1988,,
A-A-50006A,"Dispenser, Butter, Self-Contained, Eutectic",30-Apr-1990,,
A-A-50004,"Insecticide, Chlordane (Concentrate, Water Emulsifiable)",24-Aug-1981,,
A-A-50002,"Insecticide, Diazinon, Emulsifiable Concentrate",24-Aug-1981,,
A-A-50001B,"Cloth, Polishing (Chamois Cloth)",8-Nov-1985,,Cancelled Date: 16-Mar-1989
A-A-30199,"Carton, Fiber, Plastic Coated",21-Jun-1993,,Cancelled Date: 10-Nov-1999
A-A-0030123,"Knife, General Surgical",28-Jan-1987,,
A-A-0030120,"Sponge, Surgical",8-Jan-1987,,
A-A-0030118,"Mask, Face, Aseptic (Isolation)",17-Dec-1986,,
A-A-0030112,"Brush-Sponge, Surgical Scrub",24-Jun-1986,,
A-A-30110A,"Bed, Adjustable (Manual)",23-Apr-1985,,Cancelled Date: 28-Feb-1992
A-A-30108,"Pad, Abdominal (Sterile and Nonsterile)",2-Feb-1984,,
A-A-30107B,"Beds, Adjustable (Electric)",23-Apr-1985,,Cancelled Date: 27-Nov-1991
A-A-30106,"Nipper, Ingrown Toenail",23-Dec-1983,,Cancelled Date: 27-Nov-1991
A-A-30105,Sphygmomanometer,23-Dec-1983,,Cancelled Date: 2-Jun-1987
A-A-30103,"Tube, Connecting, Urinary Drainage",7-Oct-1983,,
A-A-30102A,"Syringe, Irrigating (Plastic)",28-Jul-1989,,Cancelled Date: 2-Jun-1987
A-A-30101A,"Tube, Connecting, General Purpose",24-Jul-1991,,Cancelled Date: 15-Jul-1992
A-A-30098,"Mask, Surgical",7-Oct-1983,,
A-A-30097,"Tube, Stomach, Surgical (Levin)",30-Aug-1983,,Cancelled Date: 8-Jan-1993
A-A-30095,"Pads, Sanitary (Regular and Super)",17-Aug-1983,,
A-A-30091,"Canister Assemblies, Suction, Surgical",19-Jul-1983,,
A-A-30089,"Catheters, Tracheal",10-Jun-1983,,
A-A-30088,"Airways, Pharyngeal",10-Jun-1983,,Cancelled Date: 27-Nov-1991
A-A-30086,"Surgical Packs, Disposable",11-May-1983,,
A-A-30084A,"Envelops, Sterilization",10-Jun-1983,,
A-A-30080A,"Gauze, Absorbent (Nonsterile)",11-Apr-1986,,
A-A-30079,"Drainage, Unit, Pleural Cavity",11-May-1983,,Cancelled Date: 15-Jul-1992
A-A-30077,"Bandage, Muslin",11-May-1983,,
A-A-30075,Chlorpromazine Hydrochloride Solution,31-Mar-1983,,
A-A-30070A,"Trapeze Assembly, Hospital Bed",12-Dec-1984,,
A-A-30016C,"Applicator, Disposable (Sterile and Non-Sterile)",21-May-1991,,Cancelled Date: 15-Nov-1993
A-A-30015,"Cannula, Nasal Oxygen",16-Jul-1981,,Cancelled Date: 22-Nov-2000
A-A-30014B,"Sphygmomanometer, Aneroid, Hand Model (Single tube)",24-Feb-1983,,Cancelled Date: 24-Jul-1991
A-A-30013A,"Catheter, Urethral (Foley, Silicone)",7-Oct-1983,,Cancelled Date: 4-May-1987
A-A-30011B,"Pad, Cotton (Eye Pads)",8-Feb-1985,,
A-A-3102,"Paper, Tabulating Machine Continuous Flat Fold",23-May-1997,,Cancelled Date: 9-Aug-1999
A-A-20160,Crackers and Cookies,1-Dec-1987,,
A-A-20157A,"Crabapples, Spiced, Canned",10-Jan-1994,,
A-A-20151,"Dessert Powder, Imitation Gelatin, Artificially Colored, Non",28-Jul-1987,,
A-A-20147,"Eggnog, Liquid, Canned",7-Nov-1986,,
A-A-20146,"Fruitcake, Fresh",5-Sep-1986,,Cancelled Date: 3-Jun-1994
A-A-20141,"Peppers, Pickled, Cherry and Jalapeno",17-Jun-1987,,
A-A-20137,"Beef, Corned, Canned",25-Jun-1986,,
A-A-20136B,"Corned Beef Hash, Canned",31-Dec-1996,,Cancelled Date: 14-Sep-1993
A-A-20131B,"Cherries, Maraschino, Pitted, Red",1-May-1998,,
A-A-20127,"Ham Patties, Canned",2-May-1985,,Cancelled Date: 15-Jan-2002
A-A-20045A,"Custard Mix, Egg, Dry, No-Bake, Dry",25-May-1994,,
A-A-20040A,"Salts, (Celery Garlic, and Onion)",28-Mar-1983,,
A-A-20037A,"Meal, Precooked, Frozen",26-Aug-1988,,
A-A-20031,"Potatoes, French Fried, Frozen",17-Aug-1981,,
A-A-20029,"Asparagus, Frozen",17-Aug-1981,,
A-A-20028,"Vegetables, Mixed, Frozen",17-Aug-1981,,Cancelled Date: 22-Jun-1984
A-A-20027,"Corn-On-The-Cob, Frozen",17-Aug-1981,,Cancelled Date: 22-Jun-1984
A-A-20026,"Corn, Frozen, Whole Kernel",17-Aug-1981,,Cancelled Date: 22-Jun-1984
A-A-20025,"Juice, Orange, Concentrated, Frozen",17-Aug-1981,,Cancelled Date: 22-Jun-1984
A-A-20024,"Sweet Potatoes, Canned",17-Aug-1981,,Cancelled Date: 22-Jun-1984
A-A-20023,"Bacon, Sliced, Cured, Smoked, Frozen, 1-Pound Vacuum Package",20-Jul-1981,,Cancelled Date: 22-Jun-1984
A-A-20021,"Lettuce, Fresh",31-Mar-1981,,
A-A-20020,"Tomatoes, Fresh",31-Mar-1981,,Cancelled Date: 14-Mar-1983
A-A-20019,"Onions, Dry",31-Mar-1981,,Cancelled Date: 14-Mar-1983
A-A-20018,"Potatoes, White or Red, Fresh",31-Mar-1981,,Cancelled Date: 14-Mar-1983
A-A-20017,"Oranges, Fresh",31-Mar-1981,,Cancelled Date: 14-Mar-1983
A-A-20016A,"Tomato Paste, Canned",30-Jun-1981,,Cancelled Date: 14-Mar-1983
A-A-20015A,"Peas, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20014A,"Pears, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20013A,"Corn, Sweet, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20012A,"Pineapple, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20011A,"Peaches, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20010A,"Fruit Cocktail, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20009B,"Beans, Green or Wax, Canned",29-Jan-1982,,Cancelled Date: 22-Jun-1984
A-A-20008A,"Apricots, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20007A,"Applesauce, Canned",30-Jun-1981,,Cancelled Date: 22-Jun-1984
A-A-20006,"Tomatoes, Canned",30-Sep-1980,,Cancelled Date: 22-Jun-1984
A-A-20005,"Apples, Fresh",31-Mar-1981,,Cancelled Date: 22-Jun-1984
A-A-20004A,"Tuna, Canned",23-Jul-1982,,Cancelled Date: 14-Mar-1983
A-A-20003A,"Salmon, Canned",19-Apr-1982,,Cancelled Date: 22-Jun-1984
A-A-20002,"Formula, Infant, Concentrated, Liquid, Milk-Based, Iron Fort",7-Aug-1979,,Cancelled Date: 22-Jun-1984
A-A-3163,"Box Set, Wood, Nested, Organization Equipment",29-May-1998,,
A-A-3159,"Tread, Stair, Flexible and Semi-Rigid Type Rubber and Vinyl",9-Jun-1998,,Cancelled Date: 15-Dec-1999
A-A-3158,"Matting, Rubber and Vinyl",9-Jun-1998,,Cancelled Date: 8-Nov-1999
A-A-3157,"Cloth, Polishing",13-Apr-1998,,Cancelled Date: 8-Nov-1999
A-A-3156,"Detergent, General Purpose (Spray-On, Wipe-Off)",6-Mar-1998,,Cancelled Date: 19-Sep-1999
A-A-20198,"Sausage, Poultry, Raw or Precooked, Frozen",8-Jun-1993,,Cancelled Date: 15-Jan-2002
A-A-20186,"Lobster Tail, Spiny, Raw, Frozen",28-Jun-1991,,
A-A-20182,Pie Crust Mix (Prepared),23-Jul-1990,,
A-A-20180,"Pie Crust, Preformed, Graham Cracker",29-Jan-1990,,
A-A-20179A,Browning and Seasoning Sauce,31-May-1996,,Cancelled Date: 15-Jan-2002
A-A-20174,"Coconut, Dried, Prepared",29-Jun-1989,,
A-A-20168,"Rice, Milled, Enriched",26-Aug-1988,,
A-A-20167,Extracts and Flavors,29-Jul-1988,,Cancelled Date: 10-Jul-1992
A-A-20207,"Cheese Tortellini in Tomato Sauce, Kosher and Halal, Thermo",30-Jun-1994,,
A-A-20205,"Chicken Breast Fillet with Rib Meat, Chunked and Formed, Bre",30-Dec-1994,,Cancelled Date: 15-Jan-2002
A-A-20204,"Pasta with Vegetables in Tomato Sauce, Kosher and Halal, The",30-Jun-1994,,Cancelled Date: 15-Jan-2002
A-A-20203,"Chicken, Noodles, and Vegetables, in Sauce, Kosher and Halal",30-Jun-1994,,Cancelled Date: 15-Jan-2002
A-A-20199,"Chicken Breast Fillet With Rib, Meat, Seasoned, Chunked and",30-Jun-1993,,
A-A-20122B,"Juice, Lime, Frozen",1-May-1998,,Cancelled Date: 12-Sep-2016
A-A-20115,"Juice-Drink, Pineapple and Pink Grapefruit, Canned",26-Jul-1984,,
A-A-20106,"Cake Roll, Fresh or Chilled, Jelly or Cream-Filled",11-Oct-1983,,
A-A-20102B,"Juice, Lemon, Concentrated Frozen",1-May-1998,,Cancelled Date: 12-Sep-2016
A-A-20101,"Bacon Bits, Imitation",17-Jul-1984,,
A-A-20088,"Soup Mixes, Low-Sodium, Beef- and Chicken-Flavored",25-Feb-1983,,
A-A-20086A,Baking Soda (Sodium Bicarbonate),29-Sep-1989,,Cancelled Date: 10-Jul-1992
A-A-20082A,"Bacon, Sliced, Precooked, Canned",28-Mar-1983,,
A-A-20080,"Formula, Infant, Powdered, Milk-Based",17-May-1982,,
A-A-20071A,"Rolls, Brown and Serve, Fresh",28-Jun-1991,,
A-A-20068C,"Beverage, Nonalcoholic, Carbonated (Ginger Ale)",7-Apr-1995,,
A-A-20065A,"Icing Mixes, Powder",26-Mar-1997,,Cancelled Date: 15-Jan-2002
A-A-20064,"Starches, Edible",9-Dec-1986,,Cancelled Date: 15-Jan-2002
A-A-20054A,"Doughnuts, Fresh, Plain, Coated or Filled",28-Jun-1991,,
A-A-3151,"Soap, Toilet (Liquid and Paste)",9-Mar-1998,,
A-A-3150,"Pillow, Bed (Latex Foam and Polyester Fiberfill)",4-Mar-1998,,Cancelled Date: 22-Dec-1999
A-A-3148,"Pad, Mattress, Polyester Batting, Quilted, Flat or Fitted",13-Jan-1998,,Cancelled Date: 30-Aug-1999
A-A-3142,"Pillow, Bed, Polyester Fiberfill (Refluffable)",5-Nov-1997,,Cancelled Date: 22-Jun-1999
A-A-3138,"Adhesive, Asphalt, Water Emulsion Type (For Asphalt and Viny",9-Jul-1998,,
A-A-3137,"Adhesive, Asphalt, Cut-Back Type (For Asphalt and Vinyl Comp",27-Apr-1998,,Cancelled Date: 2-Jan-2001
A-A-3134,"Cover, Mattress and Pillow (Plastic)",14-Oct-1997,,
A-A-3127,Coating System: Aluminum Epoxy Mastic for Minimally Prepared,22-Apr-1998,,
A-A-3126,Coating System: Tile-Like High Performance Architectural,8-May-1998,,Cancelled Date: 26-Jul-2001
A-A-3125,"Cards, Guide, File",8-Aug-1997,,Cancelled Date: 13-Jul-1999
A-A-3124,"Bag, Cotton Duck (Soil and Water)",13-Aug-1997,,Cancelled Date: 9-Nov-1999
A-A-3123,"Mattress, Bed, Foam",25-Sep-1997,,Cancelled Date: 26-Aug-1999
A-A-3122,"Dropcloth, Painter's (Plastic and Cotton Duck Cloth)",23-Jun-1997,,Cancelled Date: 30-Aug-1999
A-A-3118,"Brush, Plater's, Hand (Curved Handle Style)",15-Jul-1997,,
A-A-3117,"Badge, Personal Identification",3-Apr-1998,,Cancelled Date: 15-Sep-1999
A-A-3115,"Holder, Card-Label, (Plastic)",5-Feb-1997,,Cancelled Date: 17-Sep-1999
A-A-3110,Plumbing Fixture Setting Compound,25-Feb-1997,,
A-A-3107,"Dictionaries, English",9-Jan-1997,,
A-A-3106,"Brushes, Floor Sweeping",10-Mar-1997,,Cancelled Date: 15-Sep-1999
A-A-3105,"Aprons, Food Handler's",12-Mar-1997,,Cancelled Date: 15-Sep-1999
A-A-2838,"Napkins, Paper, Dispenser",20-Aug-1993,,Cancelled Date: 20-Oct-1999
A-A-3076,"File Folders, Shelf (Various Cuts)",8-Dec-1997,,
A-A-3075,"File Folders, Drawer (Charge-Out)",8-Dec-1997,,Cancelled Date: 2-Sep-1999
A-A-3074,"File Folders, Drawer (Classification)",8-Dec-1997,,Cancelled Date: 2-Sep-1999
A-A-3073,"File Folders, Inner",11-Dec-1997,,Cancelled Date: 2-Sep-1999
A-A-3072,"File Folders, Drawer (Various Cuts)",8-Dec-1997,,Cancelled Date: 2-Sep-1999
A-A-3071,"File Folders, Drawer (Straight Cut)",8-Dec-1997,,Cancelled Date: 2-Sep-1999
A-A-3070,"Scrapers. Ice and Snow, Vehicle Window",13-Jan-1997,,Cancelled Date: 2-Sep-1999
A-A-3069,"Brushes, Sanitary",1-Nov-1996,,Cancelled Date: 20-Aug-1999
A-A-3068/11,"Stones, Sharpening, Type X, Class A-2",14-Feb-1997,,Cancelled Date: 27-Aug-1999
A-A-3068/10,"Stones, Sharpening, Type VII, Class A-2",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/9,"Stones, Sharpening, Type VI, Class B",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/8,"Stones, Sharpening, Type V, Class A-2",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/7,"Stones, Sharpening Type IV, Class A-2",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/6,"Stones, Sharpening, Type II, Class A-1",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/5,"Stones, Sharpening, Type II, Style 1",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/4,"Stones, Sharpening, Type II, Class B",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/3,"Stones, Sharpening, Type II, Class A-2",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3068/1,"Stones, Sharpening, Type I, Class B, Style 1",14-Feb-1997,,Cancelled Date: 10-Nov-1999
A-A-3061,"Handles, Mop (Wet)",1-Nov-1996,,Cancelled Date: 10-Nov-1999
A-A-3060,"Mop, Wet, Cotton (With Fixed Handle)",20-Nov-1996,,Cancelled Date: 10-Sep-1999
A-A-3059,"Paint: Photoluminescent, Nonradioactive, Interior",29-Jan-1997,,Cancelled Date: 10-Sep-1999
A-A-3058,"Paint, Interior, Fire Retardant",30-Oct-1996,,Cancelled Date: 13-Jul-1999
A-A-3057,"Paper, Index",9-Sep-1996,,Cancelled Date: 5-Dec-2000
A-A-3056,"Paper, Book",18-Sep-1996,,Cancelled Date: 17-Aug-1999
A-A-3055,"Paper, Cover",18-Sep-1996,,Cancelled Date: 17-Aug-1999
A-A-3054,Paint: Heat Resisting (204 C),10-Sep-1996,,Cancelled Date: 17-Aug-1999
A-A-3053,"Adhesive, Epoxy Resin Base, General Purpose",6-Aug-1996,,Cancelled Date: 5-Dec-2000
A-A-3052,"Adhesive, Urea Resin Type (Liquid and Powder)",12-Aug-1996,,Cancelled Date: 28-Nov-2000
A-A-3051,"Frame, Coping Saw",6-Nov-1996,,Cancelled Date: 7-Sep-2000
A-A-3049,"Hammer, Pneumatic, Portable (Riveting Hammer)",6-Nov-1996,,
A-A-3046,"Jointer, Brick",6-Nov-1996,,
A-A-3045,"Hammer, Geologists' (Prospecting Pick)",29-Oct-1996,,Cancelled Date: 20-Jul-1999
A-A-3044,"Sander, Electric, Portable, Disk",7-Nov-1996,,Cancelled Date: 14-Jul-1999
A-A-3043,"Riveter, Blind, Hand and Heads",29-Oct-1996,,Cancelled Date: 19-Sep-2000
A-A-3040,"Puller, Nail, Hand",2-Oct-1996,,
A-A-3039,"Handling Tool, Sheet Material (Vacuum Type)",11-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3038,"Compressor, Piston Ring, Band Type",10-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3037,"Lifter, Valve Spring",10-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3036,Vise Woodworker's (Quick Acting),4-Nov-1996,,Cancelled Date: 14-Jul-1999
A-A-3034,"Roller, Hand (Rubber Roller)",10-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3033,"Igniter, Friction, Oxyacetylene-Torch",29-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3032,Peavy,3-Oct-1996,,Cancelled Date: 1-Jul-1999
A-A-3031,"Hook, Cant",3-Oct-1996,,Cancelled Date: 20-Nov-2000
A-A-3030,"Cutter, Glass, Wheel type",7-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3027,"Cutter, Wire Rope, Impact (Hammer Action)",6-Nov-1996,,Cancelled Date: 19-Jul-1999
A-A-3026,"Scriber, Machinists'",6-Nov-1996,,Cancelled Date: 14-Jul-1999
A-A-2954,"Brush, Bottle, Burette, Flask, Pipet, and Test Tube",3-Oct-1995,,Cancelled Date: 31-Aug-1999
A-A-2953,"Sealing Machines, Electric Impulse (Jaw Type)",24-Oct-1995,,Cancelled Date: 15-Sep-1999
A-A-2951,"Paperboard, Drawing",2-Oct-1995,,Cancelled Date: 8-Oct-1999
A-A-2950A,"Cloth, Coated, Vinyl Resin, Expanded Layer, For Upholstery",29-Apr-1996,,Cancelled Date: 16-Nov-1999
A-A-2949,Deicing Compound (Calcium Magnesium Acetate),19-Oct-1995,,Cancelled Date: 2-Sep-1999
A-A-2948,"Paper, Graph",1-May-1996,,Cancelled Date: 2-Sep-2025
A-A-2947,"Paper, Loose-Leaf, Ruled and Blank",29-Feb-1996,,Cancelled Date: 16-Nov-1999
A-A-2946,"Paper, Tracing",29-Sep-1995,,Cancelled Date: 17-Sep-1999
A-A-2945,"Cleaner, Vacuum, Electric (Commercial/Industrial)",29-Dec-1995,,Cancelled Date: 16-Nov-1999
A-A-2944,"Cleaner, Vacuum, Electric (Institution/Hospital)",5-Oct-1995,,Cancelled Date: 10-Nov-1999
A-A-2942,"Marker, Assortment, Tube Type (Dry-Erase)",19-Sep-1995,,Cancelled Date: 16-Nov-1999
A-A-2938,"Caps, Vise Jaw",1-Nov-1995,,
A-A-2934,"Ice Scraper and Chipper, Sidewalk",30-Nov-1995,,
A-A-2932A,"Key, Hexagon Socket Head Screw and Key Sets Socket Head",22-Oct-1997,,Cancelled Date: 14-Jul-1999
A-A-2928,"Reamer, Hand, Straight Fluted",1-Apr-1996,,
A-A-2927A,"Screwdriver Handle and Bit, Nonreplaceable, Nonadjustable Bi",22-Oct-1997,,Cancelled Date: 19-Jul-1999
A-A-2925A,"Key, Spline Socket Head Screw and Key Sets Socket Head",22-Oct-1997,,
A-A-2923,"Light, Desk, Incandescent, Flexible Column",7-Sep-1995,,
A-A-2922,"Pigment, Lampblack - Dry",11-Sep-1995,,Cancelled Date: 16-Nov-1999
A-A-2920,"Rake (Asphalt, Road)",24-Nov-1995,,Cancelled Date: 9-Aug-1999
A-A-2919,"Fountain, Pen (Technical)",6-Sep-1995,,Cancelled Date: 14-Jul-1999
A-A-2916A,"Pen, Ballpoint, Refillable (Retractable & Non-Retractable)",24-Apr-1996,,Cancelled Date: 31-Aug-1999
A-A-2915A,"Pen, Ballpoint (Recycled, Retractable Plastic)",24-Apr-1996,,Cancelled Date: 25-Oct-1999
A-A-2909,"Pencil, Mechanical For 3.05 MM Leads (China Marking)",29-Sep-1995,,Cancelled Date: 22-Oct-1999
A-A-2908,"Pencil, Mechanical for 1.1MM Size Lead/Colored (Push/Twist A",24-Apr-1995,,Cancelled Date: 8-Nov-1999
A-A-2907A,"Pen, Ball-Point, Non-Refillable (Plastic, Stick-Type)",24-Apr-1996,,Cancelled Date: 1-Dec-1999
A-A-2906A,"Pen Rubberized Barrel, Refills (Retractable & Stick)",24-Apr-1996,,Cancelled Date: 22-Oct-1999
A-A-2903,"Brush, Stencil",8-Apr-1996,,
A-A-2900,"Moistener, Paper Sealing, Well Type",19-Aug-1996,,Cancelled Date: 31-Aug-1999
A-A-2899,"Hangers, Coat and Trouser",6-Mar-1995,,Cancelled Date: 31-Aug-1999
A-A-2898,Funnels,3-May-1995,,Cancelled Date: 13-Jan-2000
A-A-2896,"Scrubbing Machine, Floor, Electric (Battery Powered)",29-Dec-1995,,Cancelled Date: 22-Dec-1999
A-A-2895,"Bookends, Steel",23-May-1995,,Cancelled Date: 16-Nov-1999
A-A-2894,"Arch & Clip Board Files, Composition Hardboard Back",4-Apr-1996,,Cancelled Date: 31-Aug-1999
A-A-2893A,"Pad, Writing, Leatherette Binding or Linen Binding",3-Oct-1997,,Cancelled Date: 22-Oct-1999
A-A-2891A,"Pad, Writing, Legal",23-Mar-1998,,Cancelled Date: 18-Oct-1999
A-A-2890A,"Pad, Easel",27-Feb-1998,,Cancelled Date: 22-Oct-1999
A-A-2888,"Pump, Inflating, Manual",5-Dec-1994,,Cancelled Date: 17-Sep-1999
A-A-2887,"Shears, Barbers'",10-Jan-1995,,Cancelled Date: 9-Dec-1999
A-A-2885,"Towel, Paper, Unbleached",23-Aug-1994,,
A-A-2883A,"Clock, Wall",31-May-1996,,Cancelled Date: 22-Oct-1999
A-A-3100,"Cleaning and Polishing Pad, Nonmetallic (For Aircraft)",5-Mar-1997,,Cancelled Date: 22-Oct-1999
A-A-3099,"Hammer, Carpenters', Straight Claw",15-Oct-1996,,Cancelled Date: 15-Sep-1999
A-A-3098,"Adhesive, Epoxy, Sand Filled, For Repairing, Sealing, and Gr",14-Oct-1997,,Cancelled Date: 15-Jul-1999
A-A-3093,"Sander, Electric, Portable, Oscillating Pad",6-Nov-1996,,
A-A-3092,"Sander, Electric, Portable, Belt",6-Nov-1996,,Cancelled Date: 15-Jul-1999
A-A-3091,"Chisels, Cold, Power Hammer",30-Oct-1996,,Cancelled Date: 15-Jul-1999
A-A-3090,"Chisels, Scaling, Power Hammer",30-Oct-1996,,Cancelled Date: 15-Jul-1999
A-A-3089,"Blade, Reciprocating Saw, 1/2-Inch Universal Shank (Reciproc",6-Nov-1996,,Cancelled Date: 21-Jul-1999
A-A-3088,"Blade, Reciprocating Saw, 1/4-Inch Universal Shank (Jig Saw",6-Nov-1996,,Cancelled Date: 14-Jul-1999
A-A-3087,"Forceps, Sheet Holder",10-Oct-1996,,Cancelled Date: 19-Sep-2000
A-A-3086,"Wrench, Bung, and Wrench, Drain Plug",23-Oct-1996,,Cancelled Date: 15-Jun-2000
A-A-3082,"Handles, Wood, Threaded and Tapered",24-Feb-1997,,
A-A-3081,"Mophead, Wet (Cotton-Synthetic and Synthetic)",1-Jul-1997,,Cancelled Date: 15-Sep-1999
A-A-3080,"Brush, Window",10-Jun-1997,,Cancelled Date: 2-Sep-1999
A-A-3079,"Bag, Soiled Clothes",14-Jan-1997,,Cancelled Date: 15-Sep-1999
A-A-3024,"Cutter, Gage-Glass",29-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3022,"Extractor, Tap",10-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-3019,"Reamer, Hand, Repairman's T-Handle",15-Jun-1996,,
A-A-3018,"Pilot, Reamer",15-Jun-1996,,Cancelled Date: 14-Jul-1999
A-A-3017,"Block, Dolly",25-Jun-1996,,Cancelled Date: 14-Jul-1999
A-A-3016,"Hawk, Plasterer's",23-Jul-1996,,Cancelled Date: 20-Jul-1999
A-A-3011,"Mop, Dusting, Cotton, Universal Action Swivel",29-Jul-1996,,
A-A-3009,"Tape, Teletypewriter, Perforator",30-Jan-1997,,Cancelled Date: 10-Sep-1999
A-A-3008,"Fan, Circulating, Pedestal (Oscillating)",1-May-1998,,Cancelled Date: 22-Oct-1999
A-A-3006,"Adhesive, Paper Label",11-Mar-1998,,
A-A-3005A,"Frame, Picture (Wood)",29-Apr-1997,,Cancelled Date: 11-Sep-2000
A-A-3000,"Towel, Cotton (For Glassware)",6-May-1996,,
A-A-2999,"Applicator, Wax",12-Jul-1996,,Cancelled Date: 30-Aug-1999
A-A-2997,"Broom, Push, Vegetable Fiber",11-Jul-1996,,Cancelled Date: 10-Sep-1999
A-A-2996,"Pad, Desk, Blotter",15-Aug-1996,,Cancelled Date: 10-Sep-1999
A-A-2995,"Binder, Loose-Leaf, Spring Back",27-Dec-1996,,Cancelled Date: 31-Aug-1999
A-A-2993,"Trays, Repositional Note Pad",25-Mar-1993,,Cancelled Date: 2-Aug-1999
A-A-2992,"Holder, Nameplate, Desk, Wood",19-Aug-1996,,Cancelled Date: 19-Nov-1999
A-A-2991,"Printing Set, Rubber Type",22-May-1996,,Cancelled Date: 19-Nov-1999
A-A-2990,"Trays, Desk; and Support Set, Stacking, Desk Tray",25-Jul-1996,,Cancelled Date: 31-Aug-1999
A-A-2989,"Tray, Desk, Wood, Executive Office Type",25-Jul-1996,,Cancelled Date: 19-Nov-1999
A-A-2988,"Holder, Desk Memorandum Paper, Sheet Type (Plastic)",2-Aug-1996,,Cancelled Date: 11-Nov-1999
A-A-2984,"Can, Telescope Top",6-Feb-1996,,
A-A-2983,"Pointer, Wood",12-Dec-1995,,Cancelled Date: 30-Jul-1999
A-A-2982A,"Bituminous Fillers, Solvent Type, Aluminum Pigmented",7-Jan-1997,,Cancelled Date: 31-Aug-1999
A-A-2981,"Machete, Rigid Handle",7-Nov-1996,,Cancelled Date: 28-Jan-2000
A-A-2980,"Vise, Pipe, Chain-Style",2-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-2979,"Jack, Rack Bar",11-Oct-1996,,Cancelled Date: 20-Jul-1999
A-A-2978,"Removal Tool, Oil Filter",11-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-2977,"Hoe, Mortar Mixing",2-Oct-1996,,Cancelled Date: 20-Jul-1999
A-A-2976,"Handle, File (Adjustable Type)",1-May-1996,,Cancelled Date: 20-Jul-1999
A-A-2975,"Digger, Posthole, Hinged",2-Oct-1996,,Cancelled Date: 14-Jul-1999
A-A-2973,"Puller, Fuse",10-Jun-1996,,Cancelled Date: 22-Jun-2000
A-A-2972,"Extractor, Electron Tube (Tong Type)",25-Jun-1996,,Cancelled Date: 20-Jul-1999
A-A-2969,"Cutter, Angle, Hand Operated",28-Aug-1996,,Cancelled Date: 7-Jun-2000
A-A-2967,"Punch, Cutting, Revolving Head",14-Aug-1996,,Cancelled Date: 14-Jul-1999
A-A-2966,"Marker, Tube Type, Crayon, Highlighter (Illuminator STX & Re",11-Mar-1996,,Cancelled Date: 20-Nov-2000
A-A-2965,"Correction Marker, Tube, Opaque Coating (Correction Stick &",11-Mar-1996,,Cancelled Date: 8-Nov-1999
A-A-2964,"Clocks, Wall",31-May-1996,,Cancelled Date: 23-Sep-1999
A-A-2963,"Sealing Machines, Heat; Hot Jaw and Continuous",11-Dec-1995,,Cancelled Date: 21-Jul-1999
A-A-2960,"Marker, Tube Type, Permanent (Solvent-Based Ink)",25-Oct-1995,,Cancelled Date: 10-Dec-1999
A-A-2958,"Film, Copying, Transparent (Xerographic/ Ink Jet",19-Dec-1995,,Cancelled Date: 8-Nov-1999
A-A-2957,"Mattress, Bed, Felt",21-Nov-1995,,Cancelled Date: 30-Aug-1999
A-A-2882,"Drain, Lavatory",3-Jan-1995,,Cancelled Date: 21-Jul-1999
A-A-2881,"Bar, Combination Pry and Scraper",25-Oct-1996,,Cancelled Date: 10-Aug-1999
A-A-2880,"Chisel, Brick",5-Dec-1995,,Cancelled Date: 14-Jul-1999
A-A-2879,"Bar, Pinch (Straight)",29-Aug-1995,,Cancelled Date: 19-Jul-1999
A-A-2878,"Shields, Erasing",11-Jul-1994,,Cancelled Date: 20-Jul-1999
